,domain,availability
44,.kuokgroup,"HTTPConnectionPool(host='www.example.kuokgroup', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80DC7B8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
45,.fujixerox,"HTTPConnectionPool(host='www.example.fujixerox', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80DCF60>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
46,.baidu,"HTTPConnectionPool(host='www.example.baidu', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80EC748>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
47,.yandex,"HTTPConnectionPool(host='www.example.yandex', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80ECEF0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
48,.ngo,"HTTPConnectionPool(host='www.example.ngo', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80FB6D8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
49,.abbott,"HTTPConnectionPool(host='www.example.abbott', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80FBE80>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
50,.xbox,"HTTPConnectionPool(host='www.example.xbox', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8109668>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
51,.playstation,"HTTPConnectionPool(host='www.example.playstation', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8109E10>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
52,.page,"HTTPConnectionPool(host='www.example.page', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C811A5F8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
53,.lpl,"HTTPConnectionPool(host='www.example.lpl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C811ADA0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
54,.alstom,"HTTPConnectionPool(host='www.example.alstom', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8124588>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
55,.nissay,"HTTPConnectionPool(host='www.example.nissay', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8124D30>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
56,.aigo,"HTTPConnectionPool(host='www.example.aigo', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8134518>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
57,.travelers,"HTTPConnectionPool(host='www.example.travelers', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8134CC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
58,.al,"HTTPConnectionPool(host='www.example.al', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81454A8>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed'))"
59,.fo,"HTTPConnectionPool(host='www.example.fo', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8145C50>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
60,.jcb,"HTTPConnectionPool(host='www.example.jcb', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8151438>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
61,.pg,"HTTPConnectionPool(host='www.example.pg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8151BE0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
62,.taobao,"HTTPConnectionPool(host='www.example.taobao', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C815E3C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
63,.whoswho,"HTTPConnectionPool(host='www.example.whoswho', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C815EB70>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
64,.irish,"HTTPConnectionPool(host='www.example.irish', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8169358>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
65,.actor,"HTTPConnectionPool(host='www.example.actor', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8169B00>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
66,.io,"HTTPConnectionPool(host='www.example.io', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C817B2E8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
67,.moe,"HTTPConnectionPool(host='www.example.moe', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C817BA90>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
68,.hyatt,"HTTPConnectionPool(host='www.example.hyatt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C818B278>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
69,.shop,"HTTPConnectionPool(host='www.example.shop', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C818BA20>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
70,.gs,"HTTPConnectionPool(host='www.example.gs', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8199208>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
71,.sb,"HTTPConnectionPool(host='www.example.sb', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81999B0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
72,.games,"HTTPConnectionPool(host='www.example.games', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81A7198>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
73,.live,"HTTPConnectionPool(host='www.example.live', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81A7940>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
74,.diet,"HTTPConnectionPool(host='www.example.diet', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81B5128>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
75,.bet,"HTTPConnectionPool(host='www.example.bet', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81B58D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
76,.pe,"HTTPConnectionPool(host='www.example.pe', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81C20B8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
77,.vista,"HTTPConnectionPool(host='www.example.vista', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81C2860>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
78,.audio,"HTTPConnectionPool(host='www.example.audio', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81CF048>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
79,.hdfcbank,"HTTPConnectionPool(host='www.example.hdfcbank', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81CF7F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
80,.suzuki,"HTTPConnectionPool(host='www.example.suzuki', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81CFF98>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
81,.澳門,"HTTPConnectionPool(host='www.example.xn--mix891f', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81DF780>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
82,.شبكة,"HTTPConnectionPool(host='www.example.xn--ngbc5azd', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81DFF28>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
83,.sg,"HTTPConnectionPool(host='www.example.sg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81EE710>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
84,.praxi,"HTTPConnectionPool(host='www.example.praxi', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81EEEB8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
85,.amazon,"HTTPConnectionPool(host='www.example.amazon', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81FE6A0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
86,.dell,"HTTPConnectionPool(host='www.example.dell', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C81FEE48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
87,.final,"HTTPConnectionPool(host='www.example.final', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C820C630>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
88,.properties,"HTTPConnectionPool(host='www.example.properties', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C820CDD8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
89,.oracle,"HTTPConnectionPool(host='www.example.oracle', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C821A5C0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
90,.cbn,"HTTPConnectionPool(host='www.example.cbn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C821AD68>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
91,.af,"HTTPConnectionPool(host='www.example.af', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8228550>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
92,.みんな,"HTTPConnectionPool(host='www.example.xn--q9jyb4c', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8228CF8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
93,.scb,"HTTPConnectionPool(host='www.example.scb', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C82384E0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
